"Name","Component","Side","Centre X","Centre Y","Rotation"
"C1","C","Top","64.0","63.2","270.00"
"C2","C","Top","6.0","29.2","270.00"
"C3","C","Top","18.2","33.0","180.00"
"C4","C","Top","71.0","52.2","270.00"
"C5","C","Top","18.2","54.0","180.00"
"LED1","LED","Top","71.4","44.0","90.00"
"LED2","LED","Top","18.6","10.0","270.00"
"LED3","LED","Top","28.6","10.0","270.00"
"LED4","LED","Top","40.0","11.4","180.00"
"LED5","LED","Top","48.6","10.0","270.00"
"U1","LM2937-3.3","Top","70.5","62.5","270.00"
"U2","PIC24HJ128GP502","Top","13.8","43.5","0.00"
"R1","R","Top","24.0","24.9","270.00"
"R2","R","Top","14.1","68.0","0.00"
"R3","R","Top","24.9","30.0","180.00"
"R4","R","Top","30.9","30.0","180.00"
"R5","R","Top","36.9","30.0","180.00"
"R6","R","Top","48.0","24.9","270.00"
"SW1","SW_FSM2JH","Top","59.3","69.0","270.00"
"SW2","SW_FSM2JH","Top","49.3","69.0","270.00"
"SW3","SW_FSM2JH","Top","39.3","69.0","270.00"
